gid_0,name_0,indicator_name,weight,score,score_ranked,cat,label,un_region,wb_region
ZAF,South Africa,bws,One,3.746910994,27,3,High (40-80%),Africa,Sub-Saharan Africa
PER,Peru,bws,Tot,3.743217047,36,3,High (40-80%),Americas,Latin America & Caribbean
TKM,Turkmenistan,bws,Ind,3.742092428,34,3,High (40-80%),Asia,Europe & Central Asia
TKM,Turkmenistan,bws,Tot,3.73812683,37,3,High (40-80%),Asia,Europe & Central Asia
SYR,Syria,drr,Irr,3.73631124,7,3,Medium - High (0.6-0.8),Asia,Middle East & North Africa
MNG,Mongolia,bws,Liv,3.734731711,30,3,High (40-80%),Asia,East Asia & Pacific
HUN,Hungary,drr,Irr,3.73021484,8,3,Medium - High (0.6-0.8),Europe,Europe & Central Asia
BGD,Bangladesh,drr,One,3.72997134,3,3,Medium - High (0.6-0.8),Asia,South Asia
MAR,Morocco,bws,Dom,3.729882155,32,3,High (40-80%),Africa,Middle East & North Africa
SYR,Syria,drr,Tot,3.72298318,6,3,Medium - High (0.6-0.8),Asia,Middle East & North Africa
UZB,Uzbekistan,bws,Ind,3.719430179,35,3,High (40-80%),Asia,Europe & Central Asia
SVK,Slovakia,drr,Irr,3.714158025,9,3,Medium - High (0.6-0.8),Europe,Europe & Central Asia
USA,United States,bws,Irr,3.710738468,36,3,High (40-80%),Americas,North America
DZA,Algeria,bws,Dom,3.710577446,33,3,High (40-80%),Africa,Middle East & North Africa
IND,India,drr,Dom,3.687994855,5,3,Medium - High (0.6-0.8),Asia,South Asia
IND,India,drr,Ind,3.68003281,5,3,Medium - High (0.6-0.8),Asia,South Asia
NER,Niger,rfr,Pop,3.679631002,39,3,"High (8 in 1,000 to 1 in 100)",Africa,Sub-Saharan Africa
MAR,Morocco,drr,Irr,3.677670605,10,3,Medium - High (0.6-0.8),Africa,Middle East & North Africa
SYR,Syria,drr,Ind,3.672159225,6,3,Medium - High (0.6-0.8),Asia,Middle East & North Africa
IDN,Indonesia,drr,Irr,3.67178702,11,3,Medium - High (0.6-0.8),Asia,East Asia & Pacific
ERI,Eritrea,bws,Ind,3.671348479,36,3,High (40-80%),Africa,Sub-Saharan Africa
SYR,Syria,drr,Liv,3.66626042,5,3,Medium - High (0.6-0.8),Asia,Middle East & North Africa
MAR,Morocco,drr,Tot,3.665854775,7,3,Medium - High (0.6-0.8),Africa,Middle East & North Africa
MNG,Mongolia,rfr,Pop,3.662612856,40,3,"High (8 in 1,000 to 1 in 100)",Asia,East Asia & Pacific
BEL,Belgium,bws,One,3.659995013,28,3,High (40-80%),Europe,Europe & Central Asia
LBY,Libya,rfr,Pop,3.659899624,41,3,"High (8 in 1,000 to 1 in 100)",Africa,Middle East & North Africa
MNG,Mongolia,bws,Irr,3.647676897,37,3,High (40-80%),Asia,East Asia & Pacific
HTI,Haiti,drr,Irr,3.64703986,12,3,Medium - High (0.6-0.8),Americas,Latin America & Caribbean
KHM,Cambodia,drr,Irr,3.646721985,13,3,Medium - High (0.6-0.8),Asia,East Asia & Pacific
HTI,Haiti,drr,Tot,3.641886935,8,3,Medium - High (0.6-0.8),Americas,Latin America & Caribbean
THA,Thailand,bws,Irr,3.641575331,38,3,High (40-80%),Asia,East Asia & Pacific
ROU,Romania,drr,Tot,3.64040597,9,3,Medium - High (0.6-0.8),Europe,Europe & Central Asia
IDN,Indonesia,drr,Tot,3.638001465,10,3,Medium - High (0.6-0.8),Asia,East Asia & Pacific
UZB,Uzbekistan,bws,Tot,3.628291849,38,3,High (40-80%),Asia,Europe & Central Asia
KHM,Cambodia,drr,Tot,3.62552531,11,3,Medium - High (0.6-0.8),Asia,East Asia & Pacific
ESP,Spain,bws,Ind,3.623649194,37,3,High (40-80%),Europe,Europe & Central Asia
THA,Thailand,bws,Tot,3.623007642,39,3,High (40-80%),Asia,East Asia & Pacific
UZB,Uzbekistan,bws,Irr,3.619680829,39,3,High (40-80%),Asia,Europe & Central Asia
HTI,Haiti,drr,Dom,3.61912775,6,3,Medium - High (0.6-0.8),Americas,Latin America & Caribbean
BWA,Botswana,bws,Irr,3.618689333,40,3,High (40-80%),Africa,Sub-Saharan Africa
IND,India,drr,Liv,3.61579479,6,3,Medium - High (0.6-0.8),Asia,South Asia
MAR,Morocco,drr,Liv,3.609552015,7,3,Medium - High (0.6-0.8),Africa,Middle East & North Africa
SRB,Serbia,drr,One,3.60638021,4,3,Medium - High (0.6-0.8),Europe,Europe & Central Asia
PAK,Pakistan,bws,Dom,3.601988255,34,3,High (40-80%),Asia,South Asia
MAR,Morocco,drr,Dom,3.593246295,7,3,Medium - High (0.6-0.8),Africa,Middle East & North Africa
MAR,Morocco,rfr,Pop,3.587518571,42,3,"High (8 in 1,000 to 1 in 100)",Africa,Middle East & North Africa
ROU,Romania,drr,Dom,3.578596995,8,3,Medium - High (0.6-0.8),Europe,Europe & Central Asia
PAK,Pakistan,bws,Liv,3.573235413,31,3,High (40-80%),Asia,South Asia
HUN,Hungary,drr,One,3.570887735,5,3,Medium - High (0.6-0.8),Europe,Europe & Central Asia
SRB,Serbia,drr,Liv,3.56874831,8,3,Medium - High (0.6-0.8),Europe,Europe & Central Asia
DJI,Djibouti,bws,Ind,3.555260201,38,3,High (40-80%),Africa,Middle East & North Africa
LKA,Sri Lanka,drr,Dom,3.554898655,9,3,Medium - High (0.6-0.8),Asia,South Asia
