gid_0,name_0,year,scenario,indicator_name,weight,score,score_ranked,cat,label,un_region,wb_region
JPN,Japan,2050,opt,bws,Liv,1.50811251462316,90,1,Low - Medium (10-20%),Asia,East Asia & Pacific
SUR,Suriname,2030,pes,bws,Irr,1.50645105606524,103,1,Low - Medium (10-20%),Americas,Latin America & Caribbean
KEN,Kenya,2080,pes,bws,Dom,1.50594160431959,112,1,Low - Medium (10-20%),Africa,Sub-Saharan Africa
SVK,Slovakia,2030,pes,bws,Dom,1.50524892497764,102,1,Low - Medium (10-20%),Europe,Europe & Central Asia
NLD,Netherlands,2050,pes,bws,One,1.50417133195206,91,1,Low - Medium (10-20%),Europe,Europe & Central Asia
MYS,Malaysia,2030,bau,bws,Irr,1.50411858506451,104,1,Low - Medium (10-20%),Asia,East Asia & Pacific
MYS,Malaysia,2030,opt,bws,Irr,1.50327034501792,101,1,Low - Medium (10-20%),Asia,East Asia & Pacific
NLD,Netherlands,2030,opt,bws,Liv,1.50300741729201,92,1,Low - Medium (10-20%),Europe,Europe & Central Asia
LTU,Lithuania,2030,opt,bws,Irr,1.5027863270241,102,1,Low - Medium (10-20%),Europe,Europe & Central Asia
TJK,Tajikistan,2080,pes,bws,One,1.50261841254236,101,1,Low - Medium (10-20%),Asia,Europe & Central Asia
MDA,Moldova,2030,opt,bws,Irr,1.50254643846365,103,1,Low - Medium (10-20%),Europe,Europe & Central Asia
GTM,Guatemala,2050,pes,bws,Tot,1.50215240752604,106,1,Low - Medium (10-20%),Americas,Latin America & Caribbean
NLD,Netherlands,2080,bau,bws,Irr,1.50213577240899,117,1,Low - Medium (10-20%),Europe,Europe & Central Asia
POL,Poland,2030,bau,bws,One,1.50116187136362,87,1,Low - Medium (10-20%),Europe,Europe & Central Asia
UKR,Ukraine,2080,opt,bws,Dom,1.50003618220387,106,1,Low - Medium (10-20%),Europe,Europe & Central Asia
MYS,Malaysia,2030,pes,bws,Irr,1.49931355076253,104,1,Low - Medium (10-20%),Asia,East Asia & Pacific
RWA,Rwanda,2080,pes,bws,Tot,1.49911090016697,117,1,Low - Medium (10-20%),Africa,Sub-Saharan Africa
SRB,Serbia,2080,pes,bws,Ind,1.49885223218965,116,1,Low - Medium (10-20%),Europe,Europe & Central Asia
LTU,Lithuania,2080,pes,bws,Irr,1.49816241976767,115,1,Low - Medium (10-20%),Europe,Europe & Central Asia
JPN,Japan,2030,bau,bws,One,1.49684237383474,88,1,Low - Medium (10-20%),Asia,East Asia & Pacific
BGR,Bulgaria,2030,bau,bws,Irr,1.49662939558901,105,1,Low - Medium (10-20%),Europe,Europe & Central Asia
ROU,Romania,2030,bau,bws,Liv,1.49653409138335,90,1,Low - Medium (10-20%),Europe,Europe & Central Asia
CAN,Canada,2050,pes,bws,Dom,1.49643360750136,105,1,Low - Medium (10-20%),Americas,North America
BLR,Belarus,2080,bau,bws,Dom,1.49550291591401,111,1,Low - Medium (10-20%),Europe,Europe & Central Asia
BLR,Belarus,2080,opt,bws,Ind,1.49541378256552,102,1,Low - Medium (10-20%),Europe,Europe & Central Asia
TCD,Chad,2080,bau,bws,Irr,1.49514582493809,118,1,Low - Medium (10-20%),Africa,Sub-Saharan Africa
SVK,Slovakia,2080,opt,bws,One,1.49422130813866,90,1,Low - Medium (10-20%),Europe,Europe & Central Asia
SWZ,Swaziland,2080,pes,bws,Tot,1.49307568353122,118,1,Low - Medium (10-20%),Africa,Sub-Saharan Africa
BGR,Bulgaria,2050,opt,bws,Ind,1.49269398677136,96,1,Low - Medium (10-20%),Europe,Europe & Central Asia
BLR,Belarus,2080,bau,bws,Ind,1.49264892159466,117,1,Low - Medium (10-20%),Europe,Europe & Central Asia
UKR,Ukraine,2080,bau,bws,Dom,1.49263282493125,112,1,Low - Medium (10-20%),Europe,Europe & Central Asia
BGR,Bulgaria,2030,bau,bws,Ind,1.49240529758787,97,1,Low - Medium (10-20%),Europe,Europe & Central Asia
MDG,Madagascar,2050,bau,bws,Tot,1.49158266453096,108,1,Low - Medium (10-20%),Africa,Sub-Saharan Africa
SLV,El Salvador,2050,opt,bws,Liv,1.4914641380021,91,1,Low - Medium (10-20%),Americas,Latin America & Caribbean
BLR,Belarus,2030,opt,bws,Dom,1.49141971945658,99,1,Low - Medium (10-20%),Europe,Europe & Central Asia
LTU,Lithuania,2080,bau,bws,Irr,1.49122034340352,119,1,Low - Medium (10-20%),Europe,Europe & Central Asia
GEO,Georgia,2050,pes,bws,Irr,1.49074149196309,110,1,Low - Medium (10-20%),Asia,Europe & Central Asia
JPN,Japan,2080,opt,bws,Ind,1.49016371325663,103,1,Low - Medium (10-20%),Asia,East Asia & Pacific
LTU,Lithuania,2030,pes,bws,Irr,1.48993473228523,105,1,Low - Medium (10-20%),Europe,Europe & Central Asia
NGA,Nigeria,2050,opt,bws,Tot,1.48889386135737,103,1,Low - Medium (10-20%),Africa,Sub-Saharan Africa
BGR,Bulgaria,2030,bau,bws,Tot,1.48774108025487,100,1,Low - Medium (10-20%),Europe,Europe & Central Asia
MDG,Madagascar,2050,pes,bws,Irr,1.48753311538601,111,1,Low - Medium (10-20%),Africa,Sub-Saharan Africa
BGR,Bulgaria,2080,pes,bws,Dom,1.4874039731909,113,1,Low - Medium (10-20%),Europe,Europe & Central Asia
JPN,Japan,2030,opt,bws,One,1.48732575734667,87,1,Low - Medium (10-20%),Asia,East Asia & Pacific
PAN,Panama,2080,bau,bws,Dom,1.487219366145,113,1,Low - Medium (10-20%),Americas,Latin America & Caribbean
TJK,Tajikistan,2050,bau,bws,One,1.4871397383257,92,1,Low - Medium (10-20%),Asia,Europe & Central Asia
BLR,Belarus,2080,opt,bws,Dom,1.48669036492011,107,1,Low - Medium (10-20%),Europe,Europe & Central Asia
FIN,Finland,2050,opt,bws,Ind,1.48634787997084,97,1,Low - Medium (10-20%),Europe,Europe & Central Asia
TJK,Tajikistan,2030,opt,bws,One,1.48633090832357,88,1,Low - Medium (10-20%),Asia,Europe & Central Asia
BLR,Belarus,2050,opt,bws,Dom,1.48616760970993,102,1,Low - Medium (10-20%),Europe,Europe & Central Asia
EST,Estonia,2080,opt,bws,Dom,1.48584080454134,108,1,Low - Medium (10-20%),Europe,Europe & Central Asia
SWE,Sweden,2050,bau,bws,Irr,1.48579619886493,110,1,Low - Medium (10-20%),Europe,Europe & Central Asia
MDA,Moldova,2050,opt,bws,Irr,1.48571701669354,104,1,Low - Medium (10-20%),Europe,Europe & Central Asia
BGR,Bulgaria,2030,pes,bws,Liv,1.48527908399571,95,1,Low - Medium (10-20%),Europe,Europe & Central Asia
BLR,Belarus,2050,pes,bws,Ind,1.48523918064241,106,1,Low - Medium (10-20%),Europe,Europe & Central Asia
SWE,Sweden,2030,opt,bws,Irr,1.4851018900353,105,1,Low - Medium (10-20%),Europe,Europe & Central Asia
UKR,Ukraine,2050,pes,bws,Ind,1.48337475025447,107,1,Low - Medium (10-20%),Europe,Europe & Central Asia
JPN,Japan,2080,pes,bws,Ind,1.48328116099496,117,1,Low - Medium (10-20%),Asia,East Asia & Pacific
RWA,Rwanda,2080,opt,bws,Ind,1.4822098726042,104,1,Low - Medium (10-20%),Africa,Sub-Saharan Africa
DNK,Denmark,2080,pes,bws,One,1.48192663183873,102,1,Low - Medium (10-20%),Europe,Europe & Central Asia
SVK,Slovakia,2080,bau,bws,Dom,1.48159958522663,114,1,Low - Medium (10-20%),Europe,Europe & Central Asia
SWZ,Swaziland,2080,pes,bws,Dom,1.48067568253334,114,1,Low - Medium (10-20%),Africa,Sub-Saharan Africa
BLR,Belarus,2080,bau,bws,Tot,1.47982835921556,123,1,Low - Medium (10-20%),Europe,Europe & Central Asia
LTU,Lithuania,2050,pes,bws,Irr,1.47903593891482,112,1,Low - Medium (10-20%),Europe,Europe & Central Asia
